================================================================================
ALESIS MMT-8 FIRMWARE v1.11 - FUNCTION LIST
CPU: 80C31 (8051), 12 MHz, External 27C256 EPROM
================================================================================

Address      Size     Name                           Called By
CODE:2e9e    42       load_sequence_from_storage     RESET_vector, advance_playback_position, send_midi_stop_msg
CODE:2ec8    234      process_playback_buttons       sequence_playback_engine
CODE:2fb2    33       send_midi_timing_clock         stop_all_playing_notes, setup_recording_state, sequence_playback_engine
CODE:2fd3    128      setup_recording_state          sequence_playback_engine
CODE:3026    134      sequence_edit_operations       init_metronome_click, setup_recording_state
CODE:30d9    43       memory_block_copy              sequence_edit_operations, sysex_dump_engine, sysex_dump_helper, process_midi_realtime_msgs
CODE:3104    49       memory_block_insert            sequence_edit_operations, recalculate_sequence_length
CODE:315b    3        lcd_clear_line                 sequence_playback_engine, process_playback_buttons
CODE:315e    16       lcd_print_string               RESET_vector, display_status_message
CODE:324c    29       continue_recording_existing    RESET_vector
CODE:3272    8        check_transport_buttons        RESET_vector, sequence_playback_engine
CODE:327a    18       handle_play_button             RESET_vector
CODE:33a9    174      play_button_handler_detail     handle_play_button
CODE:347b    22       handle_record_button           RESET_vector
CODE:3561    25       record_button_setup            handle_record_button
CODE:357a    18       handle_stop_continue           RESET_vector
CODE:364d    28       stop_button_handler_detail     handle_stop_continue
CODE:3f94    30       handle_copy_function           RESET_vector
CODE:407d    16       handle_delete_function         RESET_vector
CODE:4107    94       delete_function_impl           handle_delete_function
CODE:4195    17       delete_confirm                 delete_function_impl, tempo_edit_impl
CODE:41a6    13       delete_track_data              delete_function_impl
CODE:47a1    17       init_song_playback             sequence_edit_operations, RESET_vector, sequence_playback_engine, process_midi_realtime_msgs
CODE:47b2    47       get_song_step_data             handle_song_part_change, init_song_playback, setup_recording_state, sequence_playback_engine
CODE:47e1    390      process_midi_realtime_msgs     init_metronome_click, RESET_vector
CODE:4c77    99       recalculate_sequence_length    advance_playback_position
CODE:5053    49       handle_tempo_edit_button       RESET_vector
CODE:5162    120      tempo_edit_impl                handle_tempo_edit_button
CODE:599a    46       handle_track_select_button     RESET_vector
CODE:5ae5    41       track_select_impl              handle_track_select_button
CODE:5caf    133      start_recording_new_sequence   RESET_vector
CODE:5da6    598      sysex_dump_engine              process_sysex_data_dump
CODE:5ffc    25       sysex_dump_checksum            sysex_dump_engine
CODE:623d    57       handle_auto_continue_record    sequence_playback_engine
CODE:6c94    206      process_sysex_data_dump        handle_auto_continue_record
CODE:6d62    46       sysex_dump_helper              process_sysex_data_dump, sysex_dump_engine
CODE:6d90    26       init_metronome_click           RESET_vector
CODE:7340    31       handle_midi_channel_filter     RESET_vector
CODE:73e1    45       midi_filter_impl               handle_midi_channel_filter
CODE:76b2    21       TIMER1_isr                     (entry/interrupt)
CODE:7c2d    15       selftest_ram_rw                selftest_ram_rw, RESET_vector
CODE:7c3c    13       selftest_delay_loop            selftest_ram_rw, RESET_vector, selftest_show_message
CODE:7c49    6        selftest_pass_msg              RESET_vector
CODE:7c4f    14       selftest_show_message          RESET_vector
CODE:7c5d    11       selftest_fail_halt             selftest_pass_msg, selftest_show_message
